name,id,email,password,accountType,verified
Test Student,111,test1@yorku.ca,Password123!,STUDENT,true
Faculty Example,222,fprof@yorku.ca,ProfPass123!,FACULTY,true
Partner One,333,partner@outlook.com,Partner#44,PARTNER,true
Maint Guy,444,maint@yorku.ca,MaintPass11!,MAINTENANCE,true
Peter,b2c6fd85-feb4-4459-af9a-18c1b28cb871,dwdw@yorku.ca,Hello123!!,STUDENT,true
John,6759289b-c980-4333-97e2-58a3258e5b7c,dwdywy2@yorku.ca,Today123!,STAFF,true
Mike,70efe135-2a2b-4a42-a266-687d36b7515a,dwh2@yorku.ca,Hello12345!,STUDENT,true
chief,555,chief@yorku.ca,Hello456!!,CHIEF,true
maintenance,777,maintenance@yorku.ca,Hello678!!,MAINTENANCE,true
admin,888,admin@yorku.ca,Hello901!!,ADMIN,true
Login User,351bad7c-a368-45c9-a57c-4a2e667f4153,login_7ee2c8cb-0916-4a15-b970-b434e0fd220a@yorku.ca,Password123!,STUDENT,true
York Partner,dd0e9483-69fc-4fd5-b4c6-026c9c24b4a6,partnerYork_fda75bf2-f941-402c-9bac-498c2e5644ba@yorku.ca,Password123!,PARTNER,true
Student,b500f151-5d9b-408d-b5db-672d427cfd29,student_bb510d01-07b8-4811-bb88-289596f1f9a0@yorku.ca,Password123!,STUDENT,true
Student1,5fe90175-b353-4ce9-a936-fca7e83edf00,student1_f67f5893-7739-4990-92f6-80d6fd4007cb@my.yorku.ca,Password123!,STUDENT,true
Faculty,65e962a4-db64-4fce-9136-3be7ce7ec257,faculty_8a0b7c77-8979-4a28-a8c8-22d2372edc4b@yorku.ca,Password123!,FACULTY,true
Staff,7f7d739a-5eed-456a-af3d-6ca31fccd46d,staff_7493da7c-8a14-48e5-8c1c-a04dc322d879@yorku.ca,Password123!,STAFF,true
Partner,ada4a8b8-e25f-4ea4-885e-602bd28bb3b5,partner_6b69d21a-9793-4b76-baae-dcd2b52f88bf@gmail.com,Password123!,PARTNER,true
user,919513de-715e-482b-af38-8a66a36ce6be,user_aeafe6d9-101d-462a-9bbd-81c3b12ef02c@yorku.ca,Password123!,STUDENT,true
User1,afb1c7ad-b031-4aef-819b-d5c8dbfd3529,same_3303a6b2-7b30-4e58-bb40-c95f8805d49e@yorku.ca,Password123!,STUDENT,true
Logout User,41457bb0-66ef-47ba-9d14-207579d8af84,user_a69f86f3-6519-4135-937a-58573a84262d@yorku.ca,Password123!,STUDENT,true
